id,2000-01-04,000001.SH,399005.SZ,399102.SZ
2526,2010-06-22,2588.698,5371.579,1035.681
2527,2010-06-23,2569.872,5379.564,1048.032
2528,2010-06-24,2566.745,5372.454,1051.298
2529,2010-06-25,2552.817,5263.878,1016.983
2530,2010-06-28,2535.278,5199.264,988.508
2531,2010-06-29,2427.053,4929.459,913.938
2532,2010-06-30,2398.37,4880.681,919.948
2533,2010-07-01,2373.792,4786.958,882.798
2534,2010-07-02,2382.901,4740.161,873.722
2535,2010-07-05,2363.947,4726.57,862.862
2536,2010-07-06,2409.424,4863.215,894.334
2537,2010-07-07,2421.117,4927.842,909.175
2538,2010-07-08,2415.15,4906.455,906.133
2539,2010-07-09,2470.923,5043.199,932.9
2540,2010-07-12,2490.718,5074.206,930.926
2541,2010-07-13,2450.286,5026.496,931.833
2542,2010-07-14,2470.44,5028.837,923.108
2543,2010-07-15,2424.304,4922.894,893.279
2544,2010-07-16,2424.271,4924.294,893.072
2545,2010-07-19,2475.421,5040.439,908.837
2546,2010-07-20,2528.73,5202.943,937.829
2547,2010-07-21,2535.394,5208.424,942.067
2548,2010-07-22,2562.406,5271.348,951.033
2549,2010-07-23,2572.028,5287.148,961.421
2550,2010-07-26,2588.683,5365.135,966.992
2551,2010-07-27,2575.368,5372.027,958.798
2552,2010-07-28,2633.663,5505.106,973.377
2553,2010-07-29,2648.116,5508.057,976.208
2554,2010-07-30,2637.503,5495.755,969.27
2555,2010-08-02,2672.516,5611.644,995.091
2556,2010-08-03,2627.002,5504.449,976.491
2557,2010-08-04,2638.522,5540.324,978.862
2558,2010-08-05,2620.757,5588.145,988.208
2559,2010-08-06,2658.392,5703.749,1012.267
2560,2010-08-09,2672.533,5777.606,1033.234
2561,2010-08-10,2595.274,5576.901,994.854
2562,2010-08-11,2607.497,5638.679,1005.508
2563,2010-08-12,2575.475,5597.166,992.637
2564,2010-08-13,2606.7,5717.664,1008.079
2565,2010-08-16,2661.708,5880.69,1031.11
2566,2010-08-17,2671.893,5954.686,1034.477
2567,2010-08-18,2666.301,5964.663,1027.612
2568,2010-08-19,2687.979,5965.575,1026.415
2569,2010-08-20,2642.307,5809.469,996.807
2570,2010-08-23,2639.366,5857.605,996.476
2571,2010-08-24,2650.307,5939.676,1005.856
2572,2010-08-25,2596.58,5830.502,977.725
2573,2010-08-26,2603.481,5871.945,981.147
2574,2010-08-27,2610.742,5950.344,1000.102
2575,2010-08-30,2652.664,6131.59,1024.988
2576,2010-08-31,2638.798,6182.489,1025.607
2577,2010-09-01,2622.882,6124.545,996.578
2578,2010-09-02,2655.776,6194.248,1017.274
2579,2010-09-03,2655.394,6216.163,1039.866
2580,2010-09-06,2696.25,6196.018,1013.994
2581,2010-09-07,2698.363,6218.346,1027.01
2582,2010-09-08,2695.291,6288.691,1029.717
2583,2010-09-09,2656.352,6212.152,1026.025
2584,2010-09-10,2663.209,6307.387,1036.192
2585,2010-09-13,2688.32,6440.989,1044.029
2586,2010-09-14,2688.522,6475.209,1033.979
2587,2010-09-15,2652.503,6365.449,991.32
2588,2010-09-16,2602.465,6190.499,973.265
2589,2010-09-17,2598.689,6209.298,971.458
2590,2010-09-20,2588.713,6162.169,948.926
2591,2010-09-21,2591.55,6169.177,933.486
2592,2010-09-27,2627.967,6337.584,949.428
2593,2010-09-28,2611.354,6305.668,940.46
2594,2010-09-29,2610.678,6235.839,924.401
2595,2010-09-30,2655.658,6332.361,941.154
2596,2010-10-08,2738.744,6492.466,959.782
2597,2010-10-11,2806.942,6467.263,947.1
2598,2010-10-12,2841.407,6465.464,951.222
2599,2010-10-13,2861.361,6517.159,960.223
2600,2010-10-14,2879.636,6318.368,955.243
2601,2010-10-15,2971.16,6348.835,940.068
2602,2010-10-18,2955.227,6219.533,927.668
2603,2010-10-19,3001.853,6442.535,987.868
2604,2010-10-20,3003.951,6500.991,994.964
2605,2010-10-21,2983.533,6577.445,986.345
2606,2010-10-22,2975.043,6665.05,1008.008
2607,2010-10-25,3051.419,6859.055,1034.925
2608,2010-10-26,3041.543,6895.456,1030.596
2609,2010-10-27,2997.048,6829.072,1026.61
2610,2010-10-28,2992.579,6826.242,1035.656
2611,2010-10-29,2978.835,6942.156,1062.785
2612,2010-11-01,3054.021,7118.962,1105.99
2613,2010-11-02,3045.434,7028.871,1071.468
2614,2010-11-03,3030.988,6894.866,1034.541
2615,2010-11-04,3086.939,7046.199,1050.771
2616,2010-11-05,3129.497,7159.764,1063.957
2617,2010-11-08,3159.512,7288.04,1098.878
2618,2010-11-09,3135,7329.493,1107.809
2619,2010-11-10,3115.356,7375.121,1136.083
2620,2010-11-11,3147.744,7333.21,1127.325
2621,2010-11-12,2985.435,6871.385,1077.465
